Année,Type d'eau,Volume (m3),Proportion par année (%)
2022,Surface continental,28038859493,98.9
2022,Souterrain,312806808,1.1
2021,Surface continental,32017252565,99.1
2021,Souterrain,275074106,0.9
2020,Surface continental,21512108077,98.6
2020,Souterrain,312684904,1.4
2019,Surface continental,29969933123,99.0
2019,Souterrain,297222832,1.0
2018,Surface continental,20468845222,98.5
2018,Souterrain,313165300,1.5
2017,Surface continental,29077836492,99.0
2017,Souterrain,298484792,1.0
2016,Surface continental,29078642093,99.0
2016,Souterrain,302631394,1.0
2015,Surface continental,27781204156,98.9
2015,Souterrain,322584722,1.1
2014,Surface continental,26225540907,98.9
2014,Souterrain,303351280,1.1
2013,Surface continental,18288970118,98.4
2013,Souterrain,306424801,1.6
2012,Surface continental,24155649028,98.7
2012,Souterrain,319553107,1.3
2011,Surface continental,18690373013,98.1
2011,Souterrain,359108312,1.9
2010,Surface continental,1633119782,82.2
2010,Souterrain,354810943,17.8
2009,Surface continental,1715551956,82.8
2009,Souterrain,356760278,17.2
2008,Surface continental,1567816073,82.6
2008,Souterrain,329910504,17.4
